Time;Channel B;Channel D
(ms);(V);(V)

-4,95227181;2,00079966;1,18128693
-4,95216781;2,00079966;1,19863439
-4,95206381;2,00079966;1,18128693
-4,95195981;2,04432201;1,18128693
-4,95185581;2,00079966;1,18128693
-4,95175181;2,00079966;1,18128693
-4,95164781;2,04432201;1,19863439
-4,95154381;2,00079966;1,18128693
-4,95143981;2,00079966;1,18128693
-4,95133581;2,00079966;1,18128693
-4,95123181;2,00079966;1,16387796
-4,95112781;1,95727730;1,18128693
-4,95102381;2,00079966;1,16387796
-4,95091981;2,00079966;1,16387796
-4,95081581;2,00079966;1,16387796
-4,95071181;2,00079966;1,18128693
-4,95060781;2,00079966;1,16387796
-4,95050381;2,00079966;1,16387796
-4,95039981;2,00079966;1,16387796
-4,95029581;2,00079966;1,18128693
-4,95019181;2,00079966;1,16387796
-4,95008781;2,00079966;1,16387796
-4,94998381;2,00079966;1,16387796
-4,94987981;2,00079966;1,16387796
-4,94977581;2,00079966;1,16387796
-4,94967181;2,00079966;1,14653051
-4,94956781;2,04432201;1,18128693
-4,94946381;2,00079966;1,14653051
-4,94935981;2,00079966;1,14653051
-4,94925581;2,00079966;1,16387796
-4,94915181;2,00079966;1,14653051
-4,94904781;2,00079966;1,12912154
-4,94894381;2,00079966;1,12912154
-4,94883981;2,00079966;1,14653051
-4,94873581;2,04432201;1,16387796
-4,94863181;2,00079966;1,14653051
-4,94852781;2,00079966;1,14653051
-4,94842381;2,00079966;1,14653051
-4,94831981;2,00079966;1,14653051
-4,94821581;2,00079966;1,14653051
-4,94811181;2,00079966;1,16387796
-4,94800781;2,00079966;1,14653051
-4,94790381;2,00079966;1,16387796
-4,94779981;2,00079966;1,16387796
-4,94769581;2,00079966;1,16387796
-4,94759181;2,00079966;1,14653051
-4,94748781;2,04432201;1,16387796
-4,94738381;2,00079966;1,14653051
-4,94727981;2,00079966;1,16387796
-4,94717581;2,00079966;1,16387796
-4,94707181;2,00079966;1,16387796
-4,94696781;2,00079966;1,16387796
-4,94686381;2,00079966;1,14653051
-4,94675981;2,00079966;1,16387796
-4,94665581;2,00079966;1,16387796
-4,94655181;2,00079966;1,14653051
-4,94644781;2,00079966;1,14653051
-4,94634381;2,00079966;1,16387796
-4,94623981;2,00079966;1,18128693
-4,94613581;2,00079966;1,12912154
-4,94603181;2,00079966;1,16387796
-4,94592781;2,00079966;1,16387796
-4,94582381;2,00079966;1,18128693
-4,94571981;2,00079966;1,16387796
-4,94561581;2,00079966;1,18128693
-4,94551181;2,00079966;1,16387796
-4,94540781;2,00079966;1,14653051
-4,94530381;2,00079966;1,16387796
-4,94519981;2,00079966;1,16387796
-4,94509581;2,00079966;1,18128693
-4,94499181;2,00079966;1,16387796
-4,94488781;2,00079966;1,18128693
-4,94478381;2,00079966;1,16387796
-4,94467981;2,00079966;1,16387796
-4,94457581;2,04432201;1,16387796
-4,94447181;2,00079966;1,16387796
-4,94436781;2,00079966;1,16387796
-4,94426381;2,00079966;1,16387796
-4,94415981;2,00079966;1,16387796
-4,94405581;2,00079966;1,16387796
-4,94395181;2,00079966;1,18128693
-4,94384781;2,00079966;1,16387796
-4,94374381;2,00079966;1,19863439
-4,94363981;2,00079966;1,18128693
-4,94353581;2,04432201;1,16387796
-4,94343181;2,00079966;1,18128693
-4,94332781;2,00079966;1,19863439
-4,94322381;2,00079966;1,18128693
-4,94311981;2,00079966;1,19863439
-4,94301581;2,00079966;1,18128693
-4,94291181;2,00079966;1,18128693
-4,94280781;2,00079966;1,19863439
-4,94270381;2,00079966;1,18128693
-4,94259981;2,00079966;1,19863439
-4,94249581;2,04432201;1,19863439
-4,94239181;2,00079966;1,19863439
-4,94228781;2,00079966;1,19863439
-4,94218381;2,04432201;1,21598184
-4,94207981;2,04432201;1,19863439
-4,94197581;2,00079966;1,18128693
-4,94187181;2,00079966;1,21598184
-4,94176781;2,00079966;1,21598184
-4,94166381;2,00079966;1,18128693
-4,94155981;2,00079966;1,19863439
-4,94145581;2,00079966;1,19863439
-4,94135181;2,00079966;1,21598184
-4,94124781;2,04432201;1,21598184
